date,ticker,price
2024-01-01,AAPL,150.42403726365535
2024-01-02,AAPL,151.3005197271773
2024-01-03,AAPL,150.07942387190116
2024-01-04,AAPL,149.6602896513049
2024-01-05,AAPL,150.07948577274735
2024-01-06,AAPL,150.01761488803248
2024-01-07,AAPL,149.87040067428208
2024-01-08,AAPL,149.27679851518621
2024-01-09,AAPL,150.23603715476648
2024-01-10,AAPL,151.0510682226536
2024-01-11,AAPL,149.16978426583054
2024-01-12,AAPL,147.5764390203341
2024-01-13,AAPL,146.46359239143038
2024-01-14,AAPL,145.01148350994544
2024-01-15,AAPL,143.47865273548047
2024-01-16,AAPL,143.05785106972016
2024-01-17,AAPL,143.26167934295552
2024-01-18,AAPL,143.11246154530255
2024-01-19,AAPL,142.0568243832937
2024-01-20,AAPL,142.9086687983982
