date,ticker,price
2024-01-01,AAPL,149.52555821435413
2024-01-02,AAPL,148.64902183386516
2024-01-03,AAPL,147.90563971454446
2024-01-04,AAPL,148.35651624117048
2024-01-05,AAPL,149.32513776465626
2024-01-06,AAPL,151.5431300713756
2024-01-07,AAPL,151.64413154622886
2024-01-08,AAPL,150.8018568192566
2024-01-09,AAPL,150.55215932173738
2024-01-10,AAPL,149.27055757626297
2024-01-11,AAPL,150.70665088420714
2024-01-12,AAPL,150.17741614014236
2024-01-13,AAPL,149.41465855452424
2024-01-14,AAPL,150.1684115268683
2024-01-15,AAPL,149.20636381007745
2024-01-16,AAPL,147.31612156023792
2024-01-17,AAPL,148.10804684673337
2024-01-18,AAPL,147.69703115930324
2024-01-19,AAPL,146.53950137051956
2024-01-20,AAPL,147.50528662204837
