date,ticker,price
2024-01-01,AAPL,148.8017428372723
2024-01-02,AAPL,148.85766815704676
2024-01-03,AAPL,148.45049539418127
2024-01-04,AAPL,148.93856919110007
2024-01-05,AAPL,147.1317023459159
2024-01-06,AAPL,149.15083204937903
2024-01-07,AAPL,149.20944001060653
2024-01-08,AAPL,148.92155557618162
2024-01-09,AAPL,148.2213932730816
2024-01-10,AAPL,148.68590627662343
2024-01-11,AAPL,149.77773281621083
2024-01-12,AAPL,148.68367337774905
2024-01-13,AAPL,150.16027586232846
2024-01-14,AAPL,151.3333278052213
2024-01-15,AAPL,150.16519892184408
2024-01-16,AAPL,149.85016749797506
2024-01-17,AAPL,150.52936687554927
2024-01-18,AAPL,148.84544479106125
2024-01-19,AAPL,148.5322208728662
2024-01-20,AAPL,149.38178779676724
